Model,R2,RMSE,MAE,Calibration_Slope,Calibration_R
RF,0.8503247571846417,0.13670634327912162,0.07961187151049998,1.0930689923083372,0.9258439641118872
XGBoost,0.8492034742383825,0.13721745144475986,0.07191093633587146,0.932475942420666,0.9255032697407598
GBM,0.8428759417028531,0.14006674133084873,0.07945940536867675,1.0638791704405928,0.9204708809097821
DT,0.8409113143504134,0.14093969517239485,0.07424576375,1.0802881089429754,0.9227539685990307
AdaBoost,0.7544559872565673,0.17509685896283883,0.10608520406143293,1.2140568734223314,0.8824882437241789
NN,0.48342009070739567,0.2539700104236515,0.17958261321655958,1.8302239688218864,0.8004440639026092
SVM,0.4729606593862512,0.256528249734632,0.18443383772155736,1.678886367007416,0.814283033912866
LR,0.2386187043857224,0.30832928991179376,0.24678138448971249,1.4098855169402538,0.515512984704772
