contour_id,vertex_index,x2_protein_mg_ml,x1_il_wt_pct,threshold_ci
1,1,100.0,0.23310240484645356,0.1
1,2,98.98989898989899,0.23310240484645353,0.1
1,3,97.97979797979798,0.23310240484645353,0.1
1,4,96.96969696969697,0.23310240484645353,0.1
1,5,95.95959595959597,0.23310240484645353,0.1
1,6,94.94949494949496,0.23310240484645353,0.1
1,7,93.93939393939395,0.23310240484645353,0.1
1,8,92.92929292929293,0.23310240484645353,0.1
1,9,91.91919191919193,0.23310240484645353,0.1
1,10,90.90909090909092,0.23310240484645353,0.1
1,11,89.8989898989899,0.23310240484645353,0.1
1,12,88.8888888888889,0.23310240484645353,0.1
1,13,87.87878787878789,0.23310240484645353,0.1
1,14,86.8686868686869,0.5157461329922539,0.1
1,15,85.85858585858588,0.5157461329922539,0.1
1,16,84.84848484848487,0.5157461329922539,0.1
1,17,83.83838383838385,0.5157461329922539,0.1
1,18,82.82828282828284,0.5157461329922539,0.1
1,19,81.81818181818184,0.5157461329922539,0.1
1,20,80.80808080808083,0.5157461329922539,0.1
1,21,79.79797979797982,0.5157461329922539,0.1
1,22,78.7878787878788,0.5157461329922539,0.1
1,23,77.77777777777779,0.5157461329922539,0.1
1,24,76.76767676767679,0.5157461329922539,0.1
1,25,75.75757575757578,0.5157461329922539,0.1
1,26,74.74747474747477,0.5157461329922539,0.1
1,27,73.73737373737374,0.5157461329922539,0.1
1,28,72.72727272727273,0.5157461329922539,0.1
1,29,71.71717171717172,0.5049490792956756,0.1
1,30,70.70707070707071,0.5049490792956756,0.1
1,31,69.6969696969697,0.5049490792956756,0.1
1,32,68.68686868686869,0.5049490792956756,0.1
1,33,67.67676767676768,0.5049490792956756,0.1
1,34,66.66666666666667,0.5125691482039584,0.1
1,35,65.65656565656566,0.5125691482039584,0.1
1,36,64.64646464646465,0.49270830333471144,0.1
1,37,63.63636363636364,0.49270830333471144,0.1
1,38,62.62626262626263,0.49270830333471144,0.1
1,39,61.61616161616162,0.49270830333471144,0.1
1,40,60.60606060606061,0.49270830333471144,0.1
1,41,59.5959595959596,0.49270830333471144,0.1
1,42,58.58585858585859,0.49270830333471144,0.1
1,43,57.57575757575758,0.49270830333471144,0.1
1,44,56.56565656565657,0.49270830333471144,0.1
1,45,55.55555555555556,0.49270830333471144,0.1
1,46,54.54545454545455,0.556583186488197,0.1
1,47,53.535353535353536,0.556583186488197,0.1
1,48,52.525252525252526,0.556583186488197,0.1
1,49,51.515151515151516,0.556583186488197,0.1
1,50,50.505050505050505,0.556583186488197,0.1
