point_id,x1_il_wt_pct,x2_protein_mg_ml,ci,y2_crystalline,y1_rg_angstrom,r2_w,source_ml_targets_data_row_1based,raw_dat_filename,raw_dat_path,raw_dat_exists,source_cleaned_csv,source_ml_targets_csv,source_ml_targets_xlsx
25,5.7,60.0,0.789365184,1,20.8,0.95,25,EAN5.7_60mg.dat,selected_for_ML\EAN5.7_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
26,5.7,75.0,0.883487954,1,22.0,0.95,26,EAN5.7_75mg.dat,selected_for_ML\EAN5.7_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
27,5.7,100.0,0.98307479,1,20.6,0.96,27,EAN5.7_100mg.dat,selected_for_ML\EAN5.7_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
28,12.0,2.5,0.0,0,14.9,1.0,28,EAN12_2.5mg.dat,selected_for_ML\EAN12_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
29,12.0,5.0,0.562226139,1,18.1,0.98,29,EAN12_5mg.dat,selected_for_ML\EAN12_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
30,12.0,25.0,0.562710804,1,19.3,0.98,30,EAN12_25mgb.dat,selected_for_ML\EAN12_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
31,12.0,37.5,0.640791199,1,19.7,0.99,31,EAN12_37.5mg.dat,selected_for_ML\EAN12_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
32,12.0,40.0,0.775509635,1,19.9,0.96,32,EAN12_40mg.dat,selected_for_ML\EAN12_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
33,12.0,50.0,0.839174638,1,20.9,0.95,33,EAN12_50mg.dat,selected_for_ML\EAN12_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
34,12.0,60.0,0.869906612,1,21.5,0.94,34,EAN12_60mg.dat,selected_for_ML\EAN12_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
35,12.0,75.0,0.91265907,1,21.2,0.95,35,EAN12_75mg.dat,selected_for_ML\EAN12_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
36,12.0,100.0,0.931577696,1,22.1,0.94,36,EAN12_100mg.dat,selected_for_ML\EAN12_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
37,24.0,2.5,0.0,0,13.9,0.99,37,EAN24_2.5mg.dat,selected_for_ML\EAN24_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
38,24.0,5.0,0.0,0,15.3,1.0,38,EAN24_5mg.dat,selected_for_ML\EAN24_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
39,24.0,25.0,0.349118161,1,17.5,0.99,39,EAN24_25mgb.dat,selected_for_ML\EAN24_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
40,24.0,37.5,0.784011351,1,18.0,0.99,40,EAN24_37.5mg.dat,selected_for_ML\EAN24_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
41,24.0,40.0,0.0,0,17.4,1.0,41,EAN24_40mg.dat,selected_for_ML\EAN24_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
42,24.0,50.0,0.0,0,17.8,0.99,42,EAN24_50mg.dat,selected_for_ML\EAN24_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
43,24.0,60.0,0.369227359,1,18.0,0.99,43,EAN24_60mg.dat,selected_for_ML\EAN24_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
44,24.0,75.0,0.0,0,18.2,0.99,44,EAN24_75mg.dat,selected_for_ML\EAN24_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
45,24.0,100.0,0.0,0,17.3,0.99,45,EAN24_100mg.dat,selected_for_ML\EAN24_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
46,30.0,2.5,0.0,0,13.2,0.96,46,EAN30_2.5mg.dat,selected_for_ML\EAN30_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
47,30.0,5.0,0.0,0,14.1,0.99,47,EAN30_5mg.dat,selected_for_ML\EAN30_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
48,30.0,25.0,0.745319278,1,18.0,0.99,48,EAN30_25mgb.dat,selected_for_ML\EAN30_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
49,30.0,37.5,0.87437067,1,19.7,0.97,49,EAN30_37.5mg.dat,selected_for_ML\EAN30_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
50,30.0,40.0,0.726403236,1,18.0,0.99,50,EAN30_40mg.dat,selected_for_ML\EAN30_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
51,30.0,50.0,0.592693574,1,18.5,0.99,51,EAN30_50mg.dat,selected_for_ML\EAN30_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
52,30.0,60.0,0.391570237,1,18.4,0.99,52,EAN30_60mg.dat,selected_for_ML\EAN30_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
53,30.0,75.0,0.373483971,1,18.6,0.99,53,EAN30_75mg.dat,selected_for_ML\EAN30_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
54,30.0,100.0,0.0,0,14.9,1.0,54,EAN30_100mg.dat,selected_for_ML\EAN30_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
55,40.0,2.5,0.0,0,12.7,0.95,55,EAN40_2.5mg.dat,selected_for_ML\EAN40_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
56,40.0,5.0,0.0,0,13.5,0.99,56,EAN40_5mg.dat,selected_for_ML\EAN40_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
57,40.0,25.0,0.0,0,15.6,1.0,57,EAN40_25mgb.dat,selected_for_ML\EAN40_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
58,40.0,37.5,0.0,0,14.8,1.0,58,EAN40_37.5mg.dat,selected_for_ML\EAN40_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
59,40.0,40.0,0.0,0,15.0,1.0,59,EAN40_40mg.dat,selected_for_ML\EAN40_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
60,40.0,50.0,0.0,0,15.2,1.0,60,EAN40_50mg.dat,selected_for_ML\EAN40_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
61,40.0,60.0,0.0,0,15.2,1.0,61,EAN40_60mg.dat,selected_for_ML\EAN40_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
62,40.0,75.0,0.0,0,15.0,1.0,62,EAN40_75mg.dat,selected_for_ML\EAN40_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
63,40.0,100.0,0.0,0,14.5,1.0,63,EAN40_100mg.dat,selected_for_ML\EAN40_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
64,54.6,25.0,0.0,0,15.4,1.0,66,EAN54.6_25mgb.dat,selected_for_ML\EAN54.6_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
65,54.6,37.5,0.0,0,14.2,1.0,67,EAN54.6_37.5mg.dat,selected_for_ML\EAN54.6_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
66,54.6,40.0,0.0,0,14.4,1.0,68,EAN54.6_40mg.dat,selected_for_ML\EAN54.6_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
67,54.6,50.0,0.0,0,14.2,1.0,69,EAN54.6_50mg.dat,selected_for_ML\EAN54.6_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
68,54.6,60.0,0.0,0,14.1,1.0,70,EAN54.6_60mg.dat,selected_for_ML\EAN54.6_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
69,54.6,75.0,0.0,0,13.5,1.0,71,EAN54.6_75mg.dat,selected_for_ML\EAN54.6_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
70,54.6,100.0,0.0,0,13.0,1.0,72,EAN54.6_100mg.dat,selected_for_ML\EAN54.6_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
71,66.7,2.5,0.0,0,18.2,0.97,73,EAN66.7_2.5mg.dat,selected_for_ML\EAN66.7_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
72,66.7,5.0,0.0,0,16.8,0.98,74,EAN66.7_5mg.dat,selected_for_ML\EAN66.7_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
73,66.7,25.0,0.0,0,20.5,0.99,75,EAN66.7_25mgb.dat,selected_for_ML\EAN66.7_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
