Model,AUC,ACC,F1,Youden,Brier,Calibration_Slope
Logistic Regression,0.8003088008234688,0.7083333333333334,0.44,0.23005661348430273,0.16538765906130545,0.9722278317145338
Random Forest,0.9732372619660319,0.9270833333333334,0.8771929824561403,0.8172928461142561,0.06372837499999999,1.1238908284478093
Decision Tree,0.8494595985589295,0.8854166666666666,0.8,0.698919197117859,0.11458333333333333,0.7461538461538476
SVM,0.8625836335563561,0.7604166666666666,0.5818181818181818,0.4024704065877509,0.13926328081125625,1.1883039605898165
Neural Network,0.9140504374678332,0.8541666666666666,0.7666666666666667,0.6737004632012353,0.11735458941862574,0.803161596797354
GBM,0.8950077200205867,0.90625,0.8363636363636363,0.7483273288728771,0.09200680272430234,0.8053981573031191
AdaBoost,0.9562532166752444,0.8854166666666666,0.8070175438596491,0.7184765826042203,0.16901947749358784,3.558441941738688
XGBoost,0.9418425115800309,0.875,0.7857142857142857,0.6839938239835306,0.09335476420339613,0.9484430173987605
