Model,R2_Mean,R2_Std
Linear Regression,0.19463542119646776,0.016317022339119285
Random Forest,0.8320462878280923,0.018600952089875104
Decision Tree,0.7403851855296736,0.03725930323384319
SVM,0.6417714975739691,0.014409690661165087
Neural Network,0.6698883605344201,0.011872347435325439
GBM,0.8118728253723472,0.02960857886561697
AdaBoost,0.7790664078404469,0.026079215140975647
XGBoost,0.8306860905989077,0.01592031201212831
