Model,R2_Mean,R2_Std
Linear Regression,0.15106730044630118,0.018058118351058864
Random Forest,0.7855694691186125,0.057484067744027
Decision Tree,0.7010029580813676,0.11597931201883047
SVM,0.20972530231213277,0.05109465159519098
Neural Network,0.266360983904951,0.03617851108952574
GBM,0.7514800851373492,0.11012486273176962
AdaBoost,0.7140222524176544,0.0631460335252601
XGBoost,0.7461101043887013,0.09001528525378175
