Model,Accuracy,F1,Precision,Recall,Sensitivity,Specificity,Youden_Index,AUC,Brier_Score,Calibration_Slope
GBM,0.8,0.75,0.6,1.0,1.0,0.7142857142857143,0.7142857142857144,1.0,0.19905594487283812,0.6017052984963878
XGBoost,0.85,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.6904761904761905,0.9523809523809524,0.07672177255153656,1.003510214436338
LR,0.9,0.8,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666665,0.9404761904761905,0.11817500529979874,1.63566845184679
RF,0.9,0.8571428571428571,0.75,1.0,1.0,0.8571428571428571,0.8571428571428572,0.9285714285714286,0.113385,0.863838662528124
SVM,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.5238095238095237,0.9285714285714286,0.13523617422685968,1.4140844498669598
DT,0.9,0.8571428571428571,0.75,1.0,1.0,0.8571428571428571,0.8571428571428572,0.9285714285714286,0.1,0.7500000000000001
AdaBoost,0.8,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.7857142857142857,0.6190476190476191,0.9047619047619048,0.18810882286712055,3.511508070535306
NN,0.75,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.45238095238095233,0.8452380952380952,0.2112250920243524,0.49900532819572624
