Model,R2,RMSE,MAE,Calibration_Slope,Calibration_R
RF,0.8030708360105675,1.174390650507739,0.8724999999999978,0.9894187259876125,0.9023473791426332
AdaBoost,0.7900522228840969,1.2125878347696004,0.8747410167448535,1.097625576474182,0.9031915925932522
GBM,0.7841958353922724,1.2293837752427923,0.9037488704923152,0.8936139146670867,0.8944101433895844
XGBoost,0.7742183426342862,1.2574823407749218,0.8812849235534671,0.8682002940650566,0.8921857642731047
NN,0.7563116927129981,1.3063962109882736,1.1061810733304274,1.038961703256457,0.8723433451450545
SVM,0.7195675514146351,1.4014309307517099,1.2198749225032082,1.1497147393710372,0.8565759003001284
DT,0.7170700364103662,1.407657628828829,1.0550000000000002,0.8666958711299636,0.8676837757596295
LR,0.1916771689719593,2.379304298971631,2.133718350910681,0.8982279642878557,0.4433845239999147
