
  1.050000e-02,   1.916836e+07,   1.543730e+08,   5.364892e+06,   2.577296e+08,   7.183131e+07
  1.200000e-02,   1.906523e+07,   1.526656e+08,   5.350310e+06,   2.533219e+08,   7.128595e+07
  1.350000e-02,   1.894907e+07,   1.507538e+08,   5.333829e+06,   2.484210e+08,   7.067277e+07
  1.500000e-02,   1.882014e+07,   1.486459e+08,   5.315467e+06,   2.430598e+08,   6.999356e+07
  1.650000e-02,   1.867874e+07,   1.463511e+08,   5.295243e+06,   2.372741e+08,   6.925029e+07
  1.800000e-02,   1.852520e+07,   1.438791e+08,   5.273177e+06,   2.311018e+08,   6.844509e+07
  1.950000e-02,   1.835984e+07,   1.412405e+08,   5.249294e+06,   2.245828e+08,   6.758028e+07
  2.100000e-02,   1.818305e+07,   1.384464e+08,   5.223616e+06,   2.177582e+08,   6.665831e+07
  2.250000e-02,   1.799521e+07,   1.355082e+08,   5.196171e+06,   2.106703e+08,   6.568177e+07
  2.400000e-02,   1.779674e+07,   1.324380e+08,   5.166987e+06,   2.033617e+08,   6.465340e+07
  2.550000e-02,   1.758808e+07,   1.292481e+08,   5.136094e+06,   1.958756e+08,   6.357603e+07
  2.700000e-02,   1.736966e+07,   1.259511e+08,   5.103522e+06,   1.882546e+08,   6.245260e+07
  2.850000e-02,   1.714197e+07,   1.225597e+08,   5.069306e+06,   1.805407e+08,   6.128617e+07
  3.000000e-02,   1.690547e+07,   1.190868e+08,   5.033478e+06,   1.727751e+08,   6.007985e+07
  3.150000e-02,   1.666068e+07,   1.155453e+08,   4.996076e+06,   1.649974e+08,   5.883681e+07
  3.300000e-02,   1.640810e+07,   1.119481e+08,   4.957138e+06,   1.572458e+08,   5.756030e+07
  3.450000e-02,   1.614824e+07,   1.083078e+08,   4.916700e+06,   1.495562e+08,   5.625358e+07
  3.600000e-02,   1.588164e+07,   1.046370e+08,   4.874805e+06,   1.419627e+08,   5.491995e+07
  3.750000e-02,   1.560882e+07,   1.009478e+08,   4.831492e+06,   1.344966e+08,   5.356272e+07
